date,amount
2022-01-01,40146.208833275105144456
2022-01-02,40151.571993035062459003
2022-01-03,40156.935869257368388675
2022-01-04,40162.300452892255700358
2022-01-05,40167.6657192433445665
2022-01-06,40173.031731569838693045
2022-01-07,30133.2956746418337606
2022-01-08,40182.423832135598417744
2022-01-09,40187.791668135346608669
2022-01-10,40193.160375130637647706
2022-01-11,40198.470191906764041645
2022-01-12,40203.763044563290192411
2022-01-13,40209.09303685188132976
2022-01-14,40214.381333457270034061
2022-01-15,40219.684408111672842312
2022-01-16,40225.008675128142640477
2022-01-17,30172.260809072372309243
2022-01-18,40234.348238626588027607
2022-01-19,40239.653982200695308601
2022-01-20,40244.977483325224791927
2022-01-21,40250.303327589839693491
2022-01-22,40255.645014388489920932
2022-01-23,40260.996220000244919456
2022-01-24,40266.346770910760049305
2022-01-25,30203.271590824696041128
2022-01-26,40275.71013242520369468
2022-01-27,40281.061736438499685681
2022-01-28,40286.41492582468375734
2022-01-29,40291.773741345381023557
2022-01-30,40297.139082497478092595
2022-01-31,40302.504086315264957575
2022-02-01,40307.870031318514250364
2022-02-02,40313.239684210491190144
2022-02-03,30238.45245338180067266
2022-02-04,40322.631261674710562272
2022-02-05,40327.992741976011767153
2022-02-06,40333.363063363324072864
2022-02-07,40338.733078045584109669
2022-02-08,40344.101354213421719341
2022-02-09,40349.469618081295356256
2022-02-10,40354.842044091951661296
2022-02-11,40360.214770856543576999
2022-02-12,30273.686478568302082252
2022-02-13,40369.61501498260489419
2022-02-14,30280.73867106032991483
2022-02-15,40378.99999849209021429
2022-02-16,40384.357005414740952163
2022-02-17,30291.802506048746849403
2022-02-18,40393.79378279363129549
2022-02-19,40399.204927828087789181
2022-02-20,40404.617956534353496011
2022-02-21,40410.092501307926728832
2022-02-22,30311.266428969001443034
2022-02-23,40419.987123466306979453
2022-02-24,40425.682655204777247479
2022-02-25,40431.394031563331535316
2022-02-26,40437.124647867184773591
2022-02-27,40442.875168493798728081
2022-02-28,30335.937333563838879455
2022-03-01,40452.96967603541895442
2022-03-02,40458.791498603488205382
2022-03-03,40464.656047283915785239
2022-03-04,40470.346997773890468949
2022-03-05,40475.739754695669392262
2022-03-06,40481.135435125296578192
2022-03-07,40486.530982693481077199
2022-03-08,40491.927766722078017613
2022-03-09,30372.487779166201489898
2022-03-10,40501.372191006754074802
2022-03-11,40506.769305129839361617
2022-03-12,40512.170594870279186825
2022-03-13,40517.573194763968272575
2022-03-14,40522.976402311182159979
2022-03-15,40528.378165914822247648
2022-03-16,40533.781591856837087154
2022-03-17,40539.185128867004560626
2022-03-18,40544.591594006320756221
2022-03-19,30411.991014381578240612
2022-03-20,40554.046195481992672354
2022-03-21,40559.450521863395991523
2022-03-22,40564.855867276430160738
2022-03-23,40570.26342998794138837
2022-03-24,40575.670641188590813308
2022-03-25,40581.07908276902281254
2022-03-26,30439.360115304025335719
2022-03-27,40590.548983487009116446
2022-03-28,40595.958892607602199643
2022-03-29,40601.367051183924621422
2022-03-30,40606.776152758600029321
2022-03-31,40612.187083922417266148
2022-04-01,40617.599044354015220289
2022-04-02,30466.74386527762799533
2022-04-03,40627.042512385794452671
2022-04-04,40632.440650627658647516
2022-04-05,40637.844112632702765245
2022-04-06,40643.253180419779492172
2022-04-07,40648.664225391595152583
2022-04-08,40654.078448792369923434
2022-04-09,40659.495491376991408132
2022-04-10,30498.174684120285945002
2022-04-11,40668.970628686692747221
2022-04-12,40674.386832272944234931
2022-04-13,40679.805529337663314437
2022-04-14,40685.224190742249913615
2022-04-15,40690.646128437222225766
2022-04-16,40696.068236770367590923
2022-04-17,40701.491702127105743452
2022-04-18,30529.678255997977460038
2022-04-19,40710.983557486567529197
2022-04-20,40716.41007767729258986
2022-04-21,40721.837411574876966538
2022-04-22,40727.265881821688299944
2022-04-23,40732.697610735700014058
2022-04-24,40738.130313352845743795
2022-04-25,40743.597682752099003961
2022-04-26,30561.261101558253321285
2022-04-27,40753.099654949651067584
2022-04-28,40758.530851758394864697
2022-04-29,40763.961573893743954691
2022-04-30,40769.39466011445408616
2022-05-01,30580.611408290882052419
2022-05-02,40778.90318007202708554
2022-05-03,40784.338542031436813228
2022-05-04,40789.774745848575500298
2022-05-05,40795.208906949870401654
2022-05-06,30599.973659151882727689
2022-05-07,40804.722997374348505658
2022-05-08,40810.161657303540515666
2022-05-09,40815.598826386220639113
2022-05-10,30615.263288264734289567
2022-05-11,40825.102122345283916547
2022-05-12,40830.524440128705398216
2022-05-13,40835.953024764765693192
2022-05-14,40841.391540461886868133
